date,source,description,amount
2022-04-21,"Business Checking","Authority Auth Purch",138.24
2022-04-21,"Business Checking",Tualatin,1.99
2022-04-22,"Business Checking","Place Vending Clackamas",1.35
2022-04-22,"Business Checking","Place Vending Clackamas",1.00
2022-04-22,"Business Checking","D.C. United",10.96
2022-04-22,"Business Checking","Cigs Express Portland",16.66
2022-04-25,"Business Checking","Authority Auth Purch",76.75
2022-04-27,"Business Checking",Bumper.com,19.99
2022-04-28,"Business Checking","Place Vending Clackamas",2.00
2022-04-28,"Business Checking","Place Vending Clackamas",1.35
2022-05-01,"Business Checking",Goodwill,43.00
2022-05-02,"Business Checking","Place Vending Clackamas",2.00
2022-05-02,"Business Checking","Place Vending Clackamas",1.35
2022-05-02,"Business Checking","Place Vending Clackamas",1.60
2022-05-03,"Business Checking","Place Vending Clackamas",1.10
2022-05-03,"Business Checking","Place Vending Clackamas",1.00
2022-05-03,"Business Checking","Kitxoo Auth Purch",2.49
2022-05-04,"Business Checking","Facebook Messenger Payment - Kathy Douglas",85.00
2022-05-04,"Business Checking",Walgreens,5.20
2022-05-05,"Business Checking","Inc N Portland",5.98
2022-05-06,"Business Checking","Filings L Auth Purch",35.00
2022-05-09,"Business Checking",Walgreens,26.97
2022-05-09,"Business Checking",Teachable.com,30.00
2022-05-09,"Business Checking","Mapspay Auth Purch",19.95
2022-05-09,"Business Checking","Miscellaneous Debit Visa Foreign Transaction Fee",0.20
2022-05-09,"Business Checking","Ai Dungeon Auth Purch",9.99
2022-05-09,"Business Checking","D.C. United",9.08
2022-05-10,"Business Checking","Auth Purch",11.90
2022-05-10,"Business Checking",Kitxoo,3.49
2022-05-11,"Business Checking","The Hartford",46.04
2022-05-13,"Business Checking","Carl's Jr.",13.88
2022-05-16,"Business Checking",NordVPN,59.99
2022-05-17,"Business Checking",Arby's,10.24
2022-05-18,"Business Checking",Walgreens,7.43
2022-05-20,"Business Checking","Auto Transacti Nh Auth Purch",30.00
2022-05-23,"Business Checking","Place Vending Clackamas",1.00
2022-05-24,"Business Checking",PepsiCo,1.60
2022-05-26,"Business Checking","Orego Oregon City",30.95
2022-05-31,"Business Checking","Place Vending Clackamas",1.60
2022-05-31,"Business Checking","Panda Express",15.00
2022-05-31,"Business Checking","Authority Auth Purch",83.87
2022-05-31,"Business Checking","D.C. United",16.32
2022-05-31,"Business Checking",Bumper.com,19.99
2022-05-31,"Business Checking","Place Vending Clackamas",1.00
2022-05-31,"Business Checking","Place Vending Clackamas",1.60
2022-06-01,"Business Checking","Place Vending Clackamas",1.35
2022-06-01,"Business Checking","Place Vending Clackamas",1.00
2022-06-01,"Business Checking",Beaverton,7.77
2022-06-01,"Business Checking","7 Eleven",17.70
2022-06-06,"Business Checking","Place Vending Clackamas",2.50
2022-06-06,"Business Checking","Importer a Httpscloudbus De Auth Purch",84.00
2022-06-06,"Business Checking","Facebook Messenger Payment - Kathy Douglas",85.00
2022-06-07,"Business Checking","Mapspay Auth Purch",19.95
2022-06-07,"Business Checking","Miscellaneous Debit Visa Foreign Transaction Fee",0.20
2022-06-08,"Business Checking","N Dash Portland",3.25
2022-06-08,"Business Checking",Uber,24.39
2022-06-10,"Business Checking","Subscript Httpsdatamine Wa Auth Purch",19.99
2022-06-13,"Business Checking","Stop N Shop",13.17
2022-06-13,"Business Checking","The Hartford",46.04
2022-06-14,"Business Checking","Tools All Ame",61.80
2022-06-14,"Business Checking","D.C. United",33.93
2022-06-21,"Business Checking","Avast Antivirus",47.88
2022-06-21,"Business Checking",Duosuantech,44.99
2022-06-21,"Business Checking","Miscellaneous Debit Visa Foreign Transaction Fee",0.45
2022-06-21,"Business Checking","Place Vending Clackamas",1.00
2022-06-21,"Business Checking","Place Vending Clackamas",1.35
2022-06-22,"Business Checking",Httpswww.com,5.00
2022-06-23,"Business Checking","Auto Transacti Nh Auth Purch",30.00
2022-06-23,"Business Checking",Duosuantech,44.99
2022-06-24,"Business Checking","Miscellaneous Debit Visa Foreign Transaction Fee",0.45
2022-06-24,"Business Checking","File Revie Vancouver Bc Auth Purch",29.00
2022-06-27,"Business Checking","52nd Ave Mar Se Portla Auth Purch",22.93
2022-06-27,"Business Checking","Miscellaneous Debit Visa Foreign Transaction Fee",0.29
2022-06-28,"Business Checking","Place Vending Clackamas",1.50
2022-06-28,"Business Checking",Craigslist,7.00
2022-06-28,"Business Checking","Value Village",18.08
2022-06-28,"Business Checking","Percent Auth Purch",9.99
2022-06-29,"Business Checking",PostNet,90.00
2022-06-29,"Business Checking","Engine Auth Purch",59.00
2022-06-29,"Business Checking","Engine Auth Purch",79.00
2022-06-29,"Business Checking","Engine Auth Purch",199.00
2022-06-29,"Business Checking","Authority Auth Purch",135.59
2022-06-30,"Business Checking","Engine Auth Purch",350.00
2022-06-30,"Business Checking",LegalShield,44.90
2022-06-30,"Business Checking",Uber,22.99
2022-07-01,"Business Checking","Place Vending Clackamas",1.50
2022-07-01,"Business Checking","Place Vending Clackamas",2.00
2022-07-01,"Business Checking","City of Portland",4.00
2022-07-01,"Business Checking",Lime,5.55
2022-07-05,"Business Checking","Auth Purch",254.95
2022-07-05,"Business Checking","Place Vending Clackamas",2.50
2022-07-05,"Business Checking","Place Vending Clackamas",1.00
2022-07-05,"Business Checking","Place Vending Clackamas",2.00
2022-07-05,"Business Checking","Place Vending Clackamas",2.50
2022-07-05,"Business Checking","Wire Auth Purch",14.00
2022-07-05,"Business Checking","Facebook Messenger Payment - Kathy Douglas",85.00
2022-07-06,"Business Checking","WinCo Foods",62.24
2022-07-06,"Business Checking","WinCo Foods",10.91
2022-07-06,"Business Checking","Zillion Wha Auth Purch",4.99
2022-07-07,"Business Checking","Mapspay Auth Purch",19.95
2022-07-07,"Business Checking","Auth Purch",157.95
2022-07-07,"Business Checking","Auth Purch",58.00
2022-07-07,"Business Checking","Authority Auth Purch",206.23
2022-07-07,"Business Checking","Miscellaneous Debit Visa Foreign Transaction Fee",0.20
2022-07-11,"Business Checking","Place Vending Clackamas",1.00
2022-07-11,"Business Checking","Subscript Httpsdatamine Wa Auth Purch",19.99
2022-07-11,"Business Checking","S Troutdale",41.72
2022-07-11,"Business Checking","S Troutdale",4.99
2022-07-11,"Business Checking","The Hartford",46.04
2022-07-18,"Business Checking",Knack.com,39.00
2022-07-18,"Business Checking","Firestone Complete Auto Care",88.81
2022-07-20,"Business Checking","Battery Elect Portland",99.10
2022-07-20,"Business Checking","Auto Transacti Nh Auth Purch",30.00
2022-07-21,"Business Checking",Httpswww.com,5.00
2022-07-25,"Business Checking","Authority Auth Purch",431.65
2022-07-25,"Business Checking","Joinfe Auth Purch",1.00
2022-07-25,"Business Checking","Facebook Messenger Payment - Kathy Douglas",55.00
2022-07-25,"Business Checking","File Revie Vancouver Bc Auth Purch",29.00
2022-07-25,"Business Checking","Miscellaneous Debit Visa Foreign Transaction Fee",0.29
2022-07-26,"Business Checking","Media L Auth Purch",120.00
2022-07-27,"Business Checking","Facebook Messenger Payment - Kathy Douglas",50.00
2022-07-27,"Business Checking","Facebook Messenger Payment - Kathy Douglas",10.00
2022-07-28,"Business Checking","Rev Temp Credit Dispid",44.99
2022-07-28,"Business Checking","Rev Temp Credit Dispid",44.99
2022-07-29,"Business Checking","California Department of Motor Vehicles",0.04
2022-07-29,"Business Checking","California Department of Motor Vehicles",2.00
2022-07-31,"Business Checking","Oregon Vehicle Inspection Program",25.00
2022-07-31,"Business Checking",LegalShield,44.90
2022-07-31,"Business Checking","Sunil Paul Auth Purch",0.99
2022-07-31,"Business Checking","Gas Gro Scappoose",95.32
2022-07-31,"Business Checking","Cycles Beaverton",163.94
2022-08-01,"Business Checking","ATM Fee",2.00
2022-08-01,"Business Checking","ATM Fee",2.00
2022-08-03,"Business Checking","Wire Auth Purch",14.00
2022-08-04,"Business Checking","Payment - Kim Heckman",30.00
2022-08-04,"Business Checking","Httpsimpulsen Wy Auth Purch",24.86
2022-08-05,"Business Checking",Albertsons,25.16
2022-08-05,"Business Checking","Payment - Kathy Dougl",135.00
2022-08-05,"Business Checking","D.C. United",14.70
2022-08-05,"Business Checking",Walgreens,17.32
2022-08-08,"Business Checking","Mapspay Auth Purch",19.95
2022-08-08,"Business Checking","Place Vending Clackamas",1.00
2022-08-08,"Business Checking","Miscellaneous Debit Visa Foreign Transaction Fee",0.20
2022-08-08,"Business Checking","Ai Dungeon Httpsaidungeo Ut Auth Purch",14.99
2022-08-10,"Business Checking","Subscript Httpsdatamine Wa Auth Purch",19.99
2022-08-10,"Business Checking","Payment - Kathy Dougl",5.00
2022-08-10,"Business Checking","Get N Go Gro Molalla Avenue Ore Auth Purch",14.34
2022-08-11,"Business Checking","Oregon Secretary of State",100.00
2022-08-11,"Business Checking","The Hartford",46.04
2022-08-11,"Business Checking","Food Fair Ma Se Duke St Portlan Auth Purch",12.52
2022-08-11,"Business Checking","Grocery Outlet",14.65
2022-08-12,"Business Checking",Myord.com,49.00
2022-08-15,"Business Checking","D.C. United",14.97
2022-08-15,"Business Checking",Myord.com,49.00
2022-08-15,"Business Checking",Saasant.com,9.90
2022-08-15,"Business Checking",Saasant.com,50.00
2022-08-15,"Business Checking",Saasant.com,50.00
2022-08-16,"Business Checking","Auto Transacti Nh Auth Purch",30.00
2022-08-16,"Business Checking","Percent Auth Purch",14.99
2022-08-17,"Business Checking","Management Auth Purch",99.00
2022-08-17,"Business Checking",Saasant.com,9.99
2022-08-18,"Business Checking","Place Vending Clackamas",2.00
2022-08-22,"Business Checking","Auth Purch",169.20
2022-08-22,"Business Checking","Auto Transacti Nh Auth Purch",30.00
2022-08-22,"Business Checking","Authority Auth Purch",28.21
2022-08-22,"Business Checking",Httpswww.com,5.00
2022-08-22,"Business Checking",Knack.com,39.00
2022-08-22,"Business Checking","ATM U S Bank",200.00
2022-08-23,"Business Checking",Goodwill,34.39
2022-08-24,"Business Checking","File Revie Vancouver Bc Auth Purch",29.00
2022-08-25,"Business Checking","Miscellaneous Debit Visa Foreign Transaction Fee",0.29
2022-08-29,"Business Checking","Media L Auth Purch",120.00
2022-08-29,"Business Checking",Target,48.49
2022-08-29,"Business Checking",Arby's,10.84
2022-08-30,"Business Checking",LegalShield,44.90
2022-09-02,"Business Checking",Dbdesigner.net,8.99
2022-09-02,"Business Checking","Auto Parts Portland",137.32
2022-09-02,"Business Checking","Auto Parts Portland",11.58
2022-09-06,"Business Checking","Wire Auth Purch",14.00
2022-09-06,"Business Checking","Water Vendi Winston Salem Nc Auth Purch",0.50
2022-09-06,"Business Checking","Payment - Kathy Dougl",135.00
2022-09-06,"Business Checking","Mapspay Auth Purch",19.95
2022-09-06,"Business Checking","WinCo Foods",44.79
2022-09-06,"Business Checking","Miscellaneous Debit Visa Foreign Transaction Fee",0.20
2022-09-08,"Business Checking","Dungeon Httpsaidungeo Ut Auth Purch",14.99
2022-09-08,"Business Checking",Arby's,10.84
2022-09-09,"Business Checking","Used New T Portland",50.00
2022-09-09,"Business Checking","Point S Tir Vancouver Wa Auth Purch",106.16
2022-09-09,"Business Checking",eBay,126.00
2022-09-12,"Business Checking","Subscript Httpsdatamine Wa Auth Purch",19.99
2022-09-12,"Business Checking","Firestone Complete Auto Care",104.82
2022-09-12,"Business Checking","D.C. United",3.99
2022-09-12,"Business Checking","The Hartford",46.04
2022-09-12,"Business Checking","Google Cloud",100.00
2022-09-13,"Business Checking","Payment - Kim Heckman",30.00
2022-09-14,"Business Checking",Saasant.com,9.90
2022-09-14,"Business Checking","Stop Go Portland",7.97
2022-09-15,"Business Checking","Management Auth Purch",99.00
2022-09-16,"Business Checking",Knack.com,39.00
2022-09-16,"Business Checking","Auto Transacti Nh Auth Purch",30.00
2022-09-16,"Business Checking",Upwork,5.25
2022-09-19,"Business Checking","Trial Ove Till Wa Auth Purch",79.00
2022-09-19,"Business Checking",Saasant.com,9.99
2022-09-19,"Business Checking",Lucid,95.40
2022-09-19,"Business Checking","Authority Auth Purch",75.54
2022-09-20,"Business Checking","Auth Purch",169.20
2022-09-20,"Business Checking","Auto Transacti Nh Auth Purch",30.00
2022-09-20,"Business Checking","Stop Go Portland",13.27
2022-09-22,"Business Checking","Payment - Kim Heckman",30.00
2021-06-25,"Square Checking",Walgreens,9.78
2021-07-31,"Square Checking","Cravings Cigs &",4.68
2021-07-30,"Square Checking","Usa Sneaker Chest Vending",2.00
2021-07-28,"Square Checking","Union Market",12.50
2021-07-27,"Square Checking","Clark Auto Pa s",16.87
2021-07-26,"Square Checking","Parkrose West Linn",32.28
2021-07-26,"Square Checking","All Stop Pipes",10.00
2021-07-24,"Square Checking","Dba Reliance Oil",0.99
2021-07-24,"Square Checking","Usa Sneaker Chest Vending",2.50
2021-07-24,"Square Checking","Google Payment Corp",9.99
2021-07-23,"Square Checking","Value Village",49.55
2021-07-22,"Square Checking","Usa Sneaker Chest Vending",1.00
2021-07-21,"Square Checking","United Paciﬁc",24.17
2021-07-20,"Square Checking","Daleo Auto Service",9.14
2021-07-19,"Square Checking","Usa Sneaker Chest Vending",1.00
2021-07-19,"Square Checking","United Paciﬁc",12.79
2021-07-17,"Square Checking",Buy2,28.93
2021-07-10,"Square Checking","Usa Tech Ven Usa Park",1.10
2021-07-10,"Square Checking","Usa Sneaker Chest Vending",1.00
2021-07-08,"Square Checking","United Paciﬁc",3.98
2021-07-08,"Square Checking",Supercuts,37.00
2021-07-06,"Square Checking","Usa Soda Sna Usa Vend",2.00
2021-07-06,"Square Checking","Usa Sneaker Chest Vending",2.00
2021-07-05,"Square Checking","Usa Sneaker Chest Vending",2.00
2021-07-03,"Square Checking","Division Do It B",6.33
2021-07-03,"Square Checking","Food Sak NW Yeon Ave",10.88
2021-07-03,"Square Checking","Carl's Jr.",10.28
2021-07-02,"Square Checking",Sma,3.69
2021-07-02,"Square Checking",Google,12.00
2021-07-01,"Square Checking",Google,12.00
2021-08-16,"Square Checking","Usa Sneaker Chest Vending",2.00
2021-08-15,"Square Checking","82nd Avenue Gas",12.98
2021-08-13,"Square Checking","Usa Sneaker Chest Vending",2.00
2021-08-09,"Square Checking",Walgreens,15.17
2021-08-07,"Square Checking","Google Payment Corp",9.99
2021-08-07,"Square Checking","Taco Time Beave on",13.15
2021-08-06,"Square Checking","Google Gsuite Irpinket",12.00
2021-08-04,"Square Checking","Dick Hannah Honda",50.86
2021-09-15,"Square Checking","Yacolt Market In",4.38
2021-09-08,"Square Checking","Universal Cycles",20.00
2021-09-04,"Square Checking","Walgreens Sw Far",5.40
2021-09-03,"Square Checking",Google,24.00
2021-09-02,"Square Checking","Merrit 1 Inc 82n",13.68
2021-10-02,"Square Checking",Google,12.00
2022-02-27,"Square Checking","Onpoint Community Credit Union ••••074 Transfer Out",144.60
2022-04-03,"Square Checking",Adjustment,81.87
2022-07-19,"Square Checking","Onpoint Community Credit Union ••••074 Transfer Out",263.29
2022-07-15,"Square Checking","Onpoint Community Credit Union ••••074 Transfer Out",340.26
2022-08-02,"Square Checking","Onpoint Community Credit Union ••••074 Transfer Out",413.67
2022-10-04,"Square Checking","Onpoint Community Credit Union ••••074 Transfer out",289.03
2023-01-18,"Square Checking",Refund,402.97
2023-02-24,"Square Checking","Onpoint Community Credit Union ••••074 Transfer out",500.00
2023-04-19,"Square Checking","Onpoint Community Credit Union ••••074 Transfer out",96.98
2023-07-12,"Square Checking",Uncategorized,1285.43
2023-11-22,"Square Checking",Google,1.99
2023-12-21,"Square Checking",PayPal,30.00
2023-12-21,"Square Checking","Cash by Cash App",20.00
2023-12-22,"Square Checking",Google,1.99
2023-12-23,"Square Checking","Cash by Cash App",40.00
2023-12-25,"Square Checking","Cash by Cash App",30.00
2024-02-22,"Square Checking",Google,1.99
2024-03-16,"Square Checking","Order Concept",164.00
2024-03-16,"Square Checking","Vcn Californiavi",44.95
2024-03-22,"Square Checking",Google,1.99
2024-04-07,"Square Checking",Rocket,82.62
2024-04-07,"Square Checking",Rocket,16.48
2024-04-22,"Square Checking","Park Avenue Market",20.24
2024-04-23,"Square Checking",Twitch,5.99
2024-04-23,"Square Checking","Chatgpt Subscription",20.00
2024-04-27,"Square Checking",Paddle.net,25.00
2024-05-03,"Square Checking","Bito Inc.",14.13
2024-05-04,"Square Checking","Us Market",10.88
2024-05-05,"Square Checking",Www.definedigitalacade,49.00
2024-05-08,"Square Checking","Vercel Pro",20.00
2024-05-19,"Square Checking","United Pacific",30.00
2024-05-22,"Square Checking",Google,1.99
2024-05-23,"Square Checking",Twilio,20.00
2024-05-23,"Square Checking",Twitch,5.99
2024-05-25,"Square Checking",Twilio,20.00
2024-05-25,"Square Checking","Pythagora Technologies",68.85
2024-05-27,"Square Checking",Paddle.net,25.00
2024-06-04,"Square Checking","Bito Inc.",15.00
2024-06-06,"Square Checking",Www.perplexity.ai,20.00
2024-06-06,"Square Checking","Cash by Cash App",30.00
2024-06-07,"Square Checking","Lime Us",7.49
2024-06-07,"Square Checking","Vercel Pro",20.00
2024-06-23,"Square Checking",Twitch,5.99
2024-06-30,"Square Checking","Ppc Ad Editor, Inc",1.00
2024-07-01,"Square Checking","Bito Inc.",15.00
2024-07-01,"Square Checking","Fred Meye Ne 3rd",23.09
2024-07-02,"Square Checking","Ppc Ad Editor, Inc",10.00
2024-07-08,"Square Checking",Rocket,4.98
2024-07-11,"Square Checking","Cash by Cash App",40.00
2024-07-12,"Square Checking",Rocket,14.28
2024-07-21,"Square Checking","Cash by Cash App",30.00
2024-07-22,"Square Checking",Google,1.99
2024-07-22,"Square Checking",Rocket,20.00
2024-07-22,"Square Checking",Rocket,5.20
2024-07-23,"Square Checking","Us Market",30.00
2024-07-23,"Square Checking",Twitch,5.99
2024-07-24,"Square Checking","Us Market",11.19
2024-07-26,"Square Checking",Rocket,27.49
2024-07-26,"Square Checking",Rocket,16.11
2024-07-29,"Square Checking","Ionos Inc",22.00
2024-07-30,"Square Checking",Rocket,30.43
2024-08-02,"Square Checking",TecomLtd,7.99
2024-08-04,"Square Checking","Bito Inc.",15.00
2024-08-23,"Square Checking",Rocket,29.07
2024-08-23,"Square Checking","Cash by Cash App",30.00
2024-08-24,"Square Checking",Twitch,5.99
2024-08-24,"Square Checking",Rocket,32.59
2024-08-24,"Square Checking",Rocket,5.20
2024-08-25,"Square Checking","Ionos Inc",10.00
2024-08-26,"Square Checking",Rocket,22.89
2024-08-26,"Square Checking","Ionos Inc",22.00
2024-08-30,"Square Checking",Rocket,22.49
2024-08-31,"Square Checking",Rocket,4.00
2024-09-01,"Square Checking",Rocket,13.23
2024-09-08,"Square Checking",Rocket,33.16
2024-09-10,"Square Checking",Rocket,2.69
2024-09-10,"Square Checking",Rocket,2.69
2024-09-11,"Square Checking",Rocket,32.06
2024-09-12,"Square Checking","Bito Inc.",15.00
2024-09-13,"Square Checking","Ionos Inc",10.00
2024-09-13,"Square Checking",Rocket,25.18
2024-09-15,"Square Checking",Rocket,37.18
2024-09-15,"Square Checking",Rocket,26.08
2024-09-16,"Square Checking",Rocket,40.07
2024-09-16,"Square Checking",Rocket,17.45
2024-09-23,"Square Checking",Twitch,5.99
2024-09-23,"Square Checking","Good Neighbor Market",55.78
2024-09-24,"Square Checking","Onpoint Community C",47.33
2024-09-24,"Square Checking","Onpoint Community C",69.81
2024-09-24,"Square Checking",Rocket,8.87
2024-09-24,"Square Checking",Rocket,10.64
2024-09-26,"Square Checking","Sylvan Stop & Go",27.67
2024-09-26,"Square Checking",Rocket,18.16
2024-09-26,"Square Checking",Rocket,30.00
2024-09-28,"Square Checking",Rocket,40.07
2024-09-28,"Square Checking",Rocket,11.54
2024-10-01,"Square Checking",Spyfu.com,9.00
2024-10-04,"Square Checking","Bito Inc.",15.00
2024-10-08,"Square Checking",Yelpinc,67.39
2024-10-12,"Square Checking","Ionos Inc",32.00
2024-10-19,"Square Checking",Rocket,17.27
2024-10-20,"Square Checking",Rocket,15.88
2024-10-22,"Square Checking","Van Auto Service",16.38
2024-10-23,"Square Checking",Twitch,5.99
2024-10-27,"Square Checking","Greenburg Sincl",15.78
2024-10-28,"Square Checking","Paddle.net Novelainet",25.00
2024-10-28,"Square Checking","J.r Oregontires&auto",40.00
2024-10-28,"Square Checking",Www.artiphoria.ai,7.00
2024-10-29,"Square Checking","Ionos Inc",22.00
2024-10-31,"Square Checking",Spyfu.com,9.00
2024-11-01,"Square Checking",Rocket,22.81
2024-11-01,"Square Checking",Rocket,11.38
2024-11-02,"Square Checking","Gtl Inmate Phone Svc",8.15
2024-11-03,"Square Checking","Gtl Inmate Phone Svc",4.48
2024-11-03,"Square Checking","Gtl Inmate Phone Svc",3.89
2024-11-04,"Square Checking","Ionos Inc",10.00
2024-11-09,"Square Checking",Rocket,28.12
2024-11-09,"Square Checking",Yelpinc,35.98
2024-11-16,"Square Checking",Walgreens,31.21
2024-11-17,"Square Checking","Van Auto Service",30.00
2024-11-19,"Square Checking","Dollar Tr Se 82n",16.25
2024-11-19,"Square Checking","United Pacific",17.53
2024-11-21,"Square Checking","Fred M Fu Se Burn",20.00
2024-11-22,"Square Checking",Rocket,12.69
2024-11-28,"Square Checking","Paddle.net Novelainet",25.00
2024-11-29,"Square Checking","Ionos Inc",22.00
2024-12-01,"Square Checking",Spyfu.com,9.00
2024-12-01,"Square Checking",Rocket,23.40
2024-12-05,"Square Checking","Ionos Inc",10.00
2024-12-07,"Square Checking",Rocket,20.00
2024-12-08,"Square Checking",Rocket,16.56
2024-12-08,"Square Checking",Rocket,6.64
2024-12-09,"Square Checking","Goodwill N Lomba",25.97
2024-12-13,"Square Checking",Rocket,7.00
2024-12-20,"Square Checking","Lime Pass",6.99
2024-12-22,"Square Checking",Rocket,18.12
2024-12-23,"Square Checking","eBay O 15",58.99
2024-12-31,"Square Checking",Rocket,20.00
2025-01-01,"Square Checking","Ionos Inc",32.00
2025-01-01,"Square Checking","Vercel Inc.",20.00
2025-01-02,"Square Checking",Spyfu.com,9.00
2025-01-02,"Square Checking","Coca Cola Wilsonville",1.85
2025-01-05,"Square Checking",Target,30.00
2025-01-06,"Square Checking",Rocket,19.39
2025-01-07,"Square Checking",Rocket,27.48
2025-01-10,"Square Checking","Van Auto Service",69.09
2025-01-12,"Square Checking",Shenduqrwea,5.30
2025-01-19,"Square Checking","Merrit 1 Inc 82n",50.41
2025-01-20,"Square Checking",Rocket,19.39
2025-01-22,"Square Checking",Stackblitz,25.87
2025-01-23,"Square Checking",Stackblitz,20.00
2025-01-23,"Square Checking",Rocket,10.01
2025-01-24,"Square Checking","Dollar Tr Lloyd C",5.00
2025-01-25,"Square Checking",Rocket,7.95
2025-01-29,"Square Checking",Rocket,20.39
2025-01-29,"Square Checking",Rocket,9.07
2025-01-29,"Square Checking","Google ONE AI Premium",19.99
2025-02-03,"Square Checking",Spyfu.com,9.00
2025-02-05,"Square Checking",Codeium.com,15.00
2025-02-05,"Square Checking","Lime Pass",6.99
2025-02-06,"Square Checking","Van Auto Service",28.38
2025-02-07,"Square Checking",Rocket,7.00
2025-02-15,"Square Checking",Rocket,12.27
2025-02-18,"Square Checking","Abm Pioneer Tower",12.00
2025-02-20,"Square Checking",Rocket,5.88
2025-02-20,"Square Checking",Rocket,7.62
2025-02-20,"Square Checking",Rocket,15.00
2025-02-20,"Square Checking",Rocket,6.28
2025-02-22,"Square Checking","Xai Llc",10.00
2025-02-25,"Square Checking",Stackblitz,50.00
2025-03-03,"Square Checking","Google ONE AI Premium",19.99
2025-03-05,"Square Checking",Spyfu.com,9.00
2025-03-08,"Square Checking",Codeium.com,15.00
2025-03-12,"Square Checking",Con,20.00
2025-03-27,"Square Checking","Cullens Corner Store",4.97
2025-04-02,"Square Checking",Google,19.99
2025-04-07,"Square Checking",Denny's,7.58
2025-04-07,"Square Checking","Civic Food Mart",8.72
2025-04-15,"Square Checking",Con,20.00
2025-04-17,"Square Checking",Denny's,3.99
2025-04-28,"Square Checking",Google,19.99
2025-05-05,"Square Checking","All Stop Pipes And Tob",35.00
2025-05-11,"Square Checking","Star Oil Sinclair",20.00
2025-05-12,"Square Checking","Face Plant",3.40
2025-05-19,"Square Checking","Coca Cola Wilsonville",5.20
2025-05-20,"Square Checking","Vn Market",10.25
2025-05-20,"Square Checking","Vn Market",17.13
2025-05-24,"Square Checking","Coca Cola Wilsonville",3.10
2025-05-24,"Square Checking",Refund,54.28
2025-05-24,"Square Checking","Best Buy",59.99
2025-05-28,"Square Checking","Coca Cola Wilsonville",2.10
2025-06-03,"Square Checking",Afterpay,64.75
2025-06-03,"Square Checking","Google ONE AI Premium",19.99
2025-06-04,"Square Checking",Rocket,3.55
2025-06-05,"Square Checking","Westmoreland Acehardwa",12.99
2025-06-05,"Square Checking","Fred Meye N Inter",28.99
2025-06-05,"Square Checking",Rocket,4.38
2025-06-05,"Square Checking","Huynh Ba Corpora",5.17
2025-06-05,"Square Checking",Rocket,13.91
2025-06-05,"Square Checking",Rocket,12.17
2025-06-08,"Square Checking","Fred Meye Se Div",86.34
2025-06-10,"Square Checking","Coca Cola Wilsonville",3.10
2025-06-15,"Square Checking","Face Plant",13.99
2025-06-16,"Square Checking","Lime Pass",6.99
2025-06-16,"Square Checking",Afterpay,64.75
2025-06-17,"Square Checking","Central Welding Supply",28.15
2025-06-18,"Square Checking","Lime Pass",6.99
2025-06-19,"Square Checking",Walgreens,15.07
2025-06-24,"Square Checking","Fred Meye N Inter",10.16
2025-07-03,"Square Checking","Lombard Market",25.26
2025-07-04,"Square Checking","Google ONE AI Premium",19.99
2025-07-05,"Square Checking","True Value Ne Ha",19.03
2025-07-08,"Square Checking",Afterpay,64.75
2025-07-11,"Square Checking",QFC,15.48
2025-07-12,"Square Checking","Westmoreland Acehardwa",2.69
2025-07-12,"Square Checking","24-Hour Fitness",7.98
2025-07-12,"Square Checking","Goodwill Of Portland",8.97
2025-07-15,"Square Checking",Afterpay,64.75
2025-07-19,"Square Checking","Coca Cola Wilsonville",3.10
2025-07-20,"Square Checking","Goodwill Of Powell",41.54
2025-07-20,"Square Checking","Merrit 1 Inc 82n",6.99
2025-07-21,"Square Checking","Google Character AI C",9.99
2025-07-21,"Square Checking","Bill.com ACCTVERIFY",0.36
2025-07-22,"Square Checking","Value Fill",10.07
2025-07-23,"Square Checking","Troublemaker Barber and Ale Social Club",56.25
2025-07-25,"Square Checking","Alldata.com Diy Faq",19.99
2025-07-26,"Square Checking",24HourFitness,59.99
2025-07-28,"Square Checking",Google,19.99
2025-07-29,"Square Checking",KFC,3.79
2025-07-30,"Square Checking",Walgreens,5.70
2025-08-01,"Square Checking","Advantage Media Part",200.00
2025-08-03,"Square Checking","Lime Pass",6.99
2025-08-05,"Square Checking",Refund,84.24
2025-08-10,"Square Checking","24-Hour Fitness",8.38
2025-08-10,"Square Checking","Merrit 1 Inc 82n",50.87
2025-08-11,"Square Checking",Uaipremiuma,29.99
2025-08-11,"Square Checking","24-Hour Fitness",7.98
2025-08-12,"Square Checking","24 Hour Fitness USA, I",45.48
2025-08-13,"Square Checking","Meta Billing.com",29.95
2025-08-19,"Square Checking","Cursor, Ai Powered Ide",20.00
2025-08-19,"Square Checking",Uber,41.90
2025-08-27,"Square Checking","Sylvan Stop Go",10.28
2025-08-28,"Square Checking",Google,19.99
2025-09-05,"Square Checking","Southpark Garage",6.00
2025-09-09,"Square Checking","Professional Credit Se",331.25
2025-09-09,"Square Checking","Cursor, Ai Powered Ide",60.00
2025-09-10,"Square Checking","Goodwill Of Lombard",35.96
2025-09-12,"Square Checking","24 Hour Fitness USA, I",45.48
2025-09-16,"Square Checking",Con,16.96
2025-09-16,"Square Checking",Con,30.00
2025-09-17,"Square Checking","Past Lives, Llc",60.00
2025-09-21,"Square Checking","Coca Cola Wilsonville",3.35
2025-09-22,"Square Checking","Public Information Services",1.00
2025-09-22,"Square Checking",Emergent,20.00
2025-09-22,"Square Checking",Emergent,20.00
